emojiname,emojicode
"heart_exclamation","\\u2763"
"broken_heart","\\ud83d\\udc94"
"heart_on_fire","\\u2764\\uFE0F\\u200D\\ud83d\\udd25"
"mending_heart","\\u2764\\uFE0F\\u200D\\ud83e\\ude79"
"red_heart","\\u2764"
"orange_heart","\\ud83e\\udde1"
"yellow_heart","\\ud83d\\udc9b"
"green_heart","\\ud83d\\udc9a"
"blue_heart","\\ud83d\\udc99"
"purple_heart","\\ud83d\\udc9c"
"brown_heart","\\ud83e\\udd0e"
"black_heart","\\ud83d\\udda4"
"white_heart","\\ud83e\\udd0d"
"hundred_points","\\ud83d\\udcaf"
"anger_symbol","\\ud83d\\udca2"
"collision","\\ud83d\\udca5"
"dizzy","\\ud83d\\udcab"
"sweat_droplets","\\ud83d\\udca6"
"dashing_away","\\ud83d\\udca8"
"hole","\\ud83d\\udd73"
"bomb","\\ud83d\\udca3"
"speech_balloon","\\ud83d\\udcac"
"eye_in_speech_bubble","\\ud83d\\udc41\\uFE0F\\u200D\\ud83d\\udde8\\uFE0F"
"left_speech_bubble","\\ud83d\\udde8"
"right_anger_bubble","\\ud83d\\uddef"
"thought_balloon","\\ud83d\\udcad"
"zzz","\\ud83d\\udca4"
"waving_hand","\\ud83d\\udc4b"
"raised_back_of_hand","\\ud83e\\udd1a"
"hand_with_fingers_splayed","\\ud83d\\udd90"
"raised_hand","\\u270B"
"vulcan_salute","\\ud83d\\udd96"
"⊛_rightwards_hand","\\ud83e\\udef1"
"⊛_leftwards_hand","\\ud83e\\udef2"
"⊛_palm_down_hand","\\ud83e\\udef3"
"⊛_palm_up_hand","\\ud83e\\udef4"
"ok_hand","\\ud83d\\udc4c"
"pinched_fingers","\\ud83e\\udd0c"
"pinching_hand","\\ud83e\\udd0f"
"victory_hand","\\u270C"
"crossed_fingers","\\ud83e\\udd1e"
"⊛_hand_with_index_finger_and_thumb_crossed","\\ud83e\\udef0"
"loveyou_gesture","\\ud83e\\udd1f"
"sign_of_the_horns","\\ud83e\\udd18"
"call_me_hand","\\ud83e\\udd19"
"backhand_index_pointing_left","\\ud83d\\udc48"
"backhand_index_pointing_right","\\ud83d\\udc49"
"backhand_index_pointing_up","\\ud83d\\udc46"
"middle_finger","\\ud83d\\udd95"
"backhand_index_pointing_down","\\ud83d\\udc47"
"index_pointing_up","\\u261D"
"⊛_index_pointing_at_the_viewer","\\ud83e\\udef5"
"thumbs_up","\\ud83d\\udc4d"
"thumbs_down","\\ud83d\\udc4e"
"raised_fist","\\u270A"
"oncoming_fist","\\ud83d\\udc4a"
"leftfacing_fist","\\ud83e\\udd1b"
"rightfacing_fist","\\ud83e\\udd1c"
"clapping_hands","\\ud83d\\udc4f"
"raising_hands","\\ud83d\\ude4c"
"⊛_heart_hands","\\ud83e\\udef6"
"open_hands","\\ud83d\\udc50"
"palms_up_together","\\ud83e\\udd32"
"handshake","\\ud83e\\udd1d"
"folded_hands","\\ud83d\\ude4f"
"writing_hand","\\u270D"
"nail_polish","\\ud83d\\udc85"
"selfie","\\ud83e\\udd33"
"flexed_biceps","\\ud83d\\udcaa"
"mechanical_arm","\\ud83e\\uddbe"
"mechanical_leg","\\ud83e\\uddbf"
"leg","\\ud83e\\uddb5"
"foot","\\ud83e\\uddb6"
"ear","\\ud83d\\udc42"
"ear_with_hearing_aid","\\ud83e\\uddbb"
"nose","\\ud83d\\udc43"
"brain","\\ud83e\\udde0"
"anatomical_heart","\\ud83e\\udec0"
"lungs","\\ud83e\\udec1"
"tooth","\\ud83e\\uddb7"
"bone","\\ud83e\\uddb4"
"eyes","\\ud83d\\udc40"
"eye","\\ud83d\\udc41"
"tongue","\\ud83d\\udc45"
"mouth","\\ud83d\\udc44"
"⊛_biting_lip","\\ud83e\\udee6"
"baby","\\ud83d\\udc76"
"child","\\ud83e\\uddd2"
"boy","\\ud83d\\udc66"
"girl","\\ud83d\\udc67"
"person","\\ud83e\\uddd1"
"person_blond_hair","\\ud83d\\udc71"
"man","\\ud83d\\udc68"
"person_beard","\\ud83e\\uddd4"
"man_beard","\\ud83e\\uddd4\\u200D\\u2642\\uFE0F"
"woman_beard","\\ud83e\\uddd4\\u200D\\u2640\\uFE0F"
"man_red_hair","\\ud83d\\udc68\\u200D\\ud83e\\uddb0"
"man_curly_hair","\\ud83d\\udc68\\u200D\\ud83e\\uddb1"
"man_white_hair","\\ud83d\\udc68\\u200D\\ud83e\\uddb3"
"man_bald","\\ud83d\\udc68\\u200D\\ud83e\\uddb2"
"woman","\\ud83d\\udc69"
"woman_red_hair","\\ud83d\\udc69\\u200D\\ud83e\\uddb0"
"person_red_hair","\\ud83e\\uddd1\\u200D\\ud83e\\uddb0"
"woman_curly_hair","\\ud83d\\udc69\\u200D\\ud83e\\uddb1"
"person_curly_hair","\\ud83e\\uddd1\\u200D\\ud83e\\uddb1"
"woman_white_hair","\\ud83d\\udc69\\u200D\\ud83e\\uddb3"
"person_white_hair","\\ud83e\\uddd1\\u200D\\ud83e\\uddb3"
"woman_bald","\\ud83d\\udc69\\u200D\\ud83e\\uddb2"
"person_bald","\\ud83e\\uddd1\\u200D\\ud83e\\uddb2"
"woman_blond_hair","\\ud83d\\udc71\\u200D\\u2640\\uFE0F"
"man_blond_hair","\\ud83d\\udc71\\u200D\\u2642\\uFE0F"
"older_person","\\ud83e\\uddd3"
"old_man","\\ud83d\\udc74"
"old_woman","\\ud83d\\udc75"
"person_frowning","\\ud83d\\ude4d"
"man_frowning","\\ud83d\\ude4d\\u200D\\u2642\\uFE0F"
"woman_frowning","\\ud83d\\ude4d\\u200D\\u2640\\uFE0F"
"person_pouting","\\ud83d\\ude4e"
"man_pouting","\\ud83d\\ude4e\\u200D\\u2642\\uFE0F"
"woman_pouting","\\ud83d\\ude4e\\u200D\\u2640\\uFE0F"
"person_gesturing_no","\\ud83d\\ude45"
"man_gesturing_no","\\ud83d\\ude45\\u200D\\u2642\\uFE0F"
"woman_gesturing_no","\\ud83d\\ude45\\u200D\\u2640\\uFE0F"
"person_gesturing_ok","\\ud83d\\ude46"
"man_gesturing_ok","\\ud83d\\ude46\\u200D\\u2642\\uFE0F"
"woman_gesturing_ok","\\ud83d\\ude46\\u200D\\u2640\\uFE0F"
"person_tipping_hand","\\ud83d\\udc81"
"man_tipping_hand","\\ud83d\\udc81\\u200D\\u2642\\uFE0F"
"woman_tipping_hand","\\ud83d\\udc81\\u200D\\u2640\\uFE0F"
"person_raising_hand","\\ud83d\\ude4b"
"man_raising_hand","\\ud83d\\ude4b\\u200D\\u2642\\uFE0F"
"woman_raising_hand","\\ud83d\\ude4b\\u200D\\u2640\\uFE0F"
"deaf_person","\\ud83e\\uddcf"
"deaf_man","\\ud83e\\uddcf\\u200D\\u2642\\uFE0F"
"deaf_woman","\\ud83e\\uddcf\\u200D\\u2640\\uFE0F"
"person_bowing","\\ud83d\\ude47"
"man_bowing","\\ud83d\\ude47\\u200D\\u2642\\uFE0F"
"woman_bowing","\\ud83d\\ude47\\u200D\\u2640\\uFE0F"
"person_facepalming","\\ud83e\\udd26"
"man_facepalming","\\ud83e\\udd26\\u200D\\u2642\\uFE0F"
"woman_facepalming","\\ud83e\\udd26\\u200D\\u2640\\uFE0F"
"person_shrugging","\\ud83e\\udd37"
"man_shrugging","\\ud83e\\udd37\\u200D\\u2642\\uFE0F"
"woman_shrugging","\\ud83e\\udd37\\u200D\\u2640\\uFE0F"
"health_worker","\\ud83e\\uddd1\\u200D\\u2695\\uFE0F"
"man_health_worker","\\ud83d\\udc68\\u200D\\u2695\\uFE0F"
"woman_health_worker","\\ud83d\\udc69\\u200D\\u2695\\uFE0F"
"student","\\ud83e\\uddd1\\u200D\\ud83c\\udf93"
